中文課名,科號,類別
微積分Ｂ一,-1,1
微積分Ｂ二,-1,1
計算機程式設計一,CS1355,1
計算機程式設計二,CS1356,1
大學中文,-1,1
資料結構,CS2351,1
線性代數,CS2334,1
機率,CS3332,1
離散數學,CS2336,1
邏輯設計,EECS1010,1
硬體設計與實驗,CS2104,1
軟體設計與實驗,CS2410,1
計算機結構,CS4100,1
計算方法設計,CS4311,1
作業系統,CS3423,1
系統整合實作一,CS3901,1
系統整合實作二,CS3902,1
普通物理B一,-1,X
普通物理B二,-1,X
普通化學一,-1,Y
普通化學二,-1,Y
生命科學一,-1,Z
生命科學二,-1,Z
常微分方程,EECS2030,A
訊號與系統,EECS2020,A
正規語言,CS3371,A
數值最佳化,CS5321,A
量子計算概論,CS5391,A
電路與電子學一,CS2100,B
積體電路設計概論,CS3120,B
嵌入式系統概論,CS4101,B
編譯器設計,CS3404,B
超大型積體電路系統設計,CS5120,B
計算機網路概論,EECS3020,C
軟體工程,CS4461,C
密碼與網路安全概論,CS3305,C
平行計算概論,CS4111,C
資料庫系統概論,CS4710,D
人工智慧概論,CS4601,D
多媒體技術概論,CS3570,D
機器學習概論,CS4602,D
